epoch,loss,lr,val_loss
0,0.5022143077366499,0.001,0.2275224927729356
1,0.2314995162607384,0.001,0.1250295925946136
2,0.18101272090580148,0.001,0.10394478872549914
3,0.15438531287142382,0.001,0.0855293303895021
4,0.13920507417243339,0.001,0.07542182540663916
5,0.13241393580395433,0.001,0.06954364323177996
6,0.1181900887653895,0.001,0.061897216230701685
7,0.10935020483629211,0.001,0.06167835715616935
8,0.10919168368003589,0.001,0.05543040522315412
9,0.10581671793186148,0.001,0.08265516975640401
10,0.10407862809896122,0.001,0.05451917715999124
11,0.09507345628228547,0.001,0.05381252743728656
12,0.09356952088583963,0.001,0.04616158719200487
13,0.09147270882688083,0.001,0.045109827832988406
14,0.08922003009506946,0.001,0.044860452823897286
15,0.09388396593289282,0.001,0.045116098435154316
16,0.08614490283092233,0.001,0.04301789807672919
17,0.0846664429768803,0.001,0.042509071786874665
18,0.08246838995102432,0.001,0.041306092921652035
19,0.08358012687372614,0.001,0.03969135549322823
20,0.08305192343589349,0.001,0.041606868679198335
21,0.07822838924220388,0.001,0.03649626144692327
22,0.07947809003989365,0.001,0.03566561335775539
23,0.07768828591132948,0.001,0.03835535058226924
24,0.07456805311839249,0.001,0.03700347953442502
25,0.07543508106490919,0.001,0.03348546795476195
26,0.07201443248392365,0.001,0.0349868302823418
27,0.07190548362368097,0.001,0.03499756103731788
28,0.07100172160512526,0.001,0.033617773930082515
29,0.07000751474290731,0.001,0.033055190966532234
30,0.07052428902045287,0.001,0.03294978061174368
31,0.07042127362744281,0.001,0.033962772837324726
32,0.06976941002682957,0.001,0.03185344230445596
33,0.07198307637622754,0.001,0.034363926145218396
34,0.06911299462439122,0.001,0.033261481739861355
35,0.069572468723691,0.001,0.03118935160532351
36,0.06612822604423906,0.001,0.02850388214643349
37,0.06742906280171916,0.001,0.030660043768040983
38,0.0689060680258229,0.001,0.02894188517793755
39,0.06702267664387401,0.001,0.03105988937037449
40,0.0653790590836449,0.001,0.037596341668585796
41,0.07634987010749787,0.001,0.030793181149818848
42,0.0648704423897829,0.0005,0.027558292686030047
43,0.06255215061744493,0.0005,0.02659711403423226
44,0.06260704633053354,0.0005,0.025810468632592558
45,0.0634228625346451,0.0005,0.0254384243642078
46,0.06194612455595223,0.0005,0.02509039455047288
47,0.062179103723472726,0.0005,0.02548015513283486
48,0.06075739865737285,0.0005,0.024844786110830425
49,0.06227516115865008,0.0005,0.028147865140220076
50,0.060942518865434385,0.0005,0.027423456489840032
51,0.06032732380990341,0.0005,0.024004434473282744
52,0.059399915005548906,0.0005,0.02479833451201488
53,0.05958869774734554,0.0005,0.02424627137341956
54,0.05894829100553366,0.0005,0.024150529058994088
55,0.05935922186688382,0.0005,0.024067959337396003
56,0.05952766629795991,0.0005,0.02339657745039557
57,0.05930077106384889,0.0005,0.02605668341839599
58,0.05950236892566661,0.0005,0.023653027964932925
59,0.0570264405047682,0.0005,0.022793739653165272
60,0.057549108616446285,0.0005,0.02737075699466734
61,0.05899193692179589,0.0005,0.025451307410711912
62,0.05901673017787767,0.0005,0.023359338479788022
63,0.05819748957896947,0.0005,0.02336906568900899
64,0.05858349832734605,0.0005,0.024272366601231495
65,0.05651582277398627,0.00025,0.02292045531747009
66,0.05727771155867842,0.00025,0.022747324487682526
67,0.055992669526976416,0.00025,0.02291044984409587
68,0.05652814751703933,0.00025,0.0221479159542116
69,0.05478128260405285,0.00025,0.02184599616504113
70,0.0573341779233083,0.00025,0.02394283504493393
71,0.05523611584031759,0.00025,0.021374553290100292
72,0.056173414415724585,0.00025,0.021704800534128474
73,0.05519575050335344,0.00025,0.02162247241091537
74,0.05571931637422547,0.00025,0.021549424294379806
75,0.05546582652787535,0.00025,0.021414350628320478
76,0.056823707538217104,0.00025,0.022573123657563796
77,0.054776890277602415,0.000125,0.02218954618599769
78,0.05522308468922717,0.000125,0.021220055451453522
79,0.054398961187466864,0.000125,0.0210032338725886
80,0.05390549531428142,0.000125,0.021405735497602538
81,0.05517224013666653,0.000125,0.020892743372155426
82,0.05460834829096084,0.000125,0.02133283384189513
83,0.053718659230138036,0.000125,0.021531825304917804
84,0.05478737815880727,0.000125,0.020670079744850252
85,0.055056837703604526,0.000125,0.020953331886362652
86,0.05437351754577416,0.000125,0.022158173494656156
87,0.05490791512361126,0.000125,0.021208403471766262
88,0.05348258400062229,0.000125,0.02137382012149869
89,0.05425360624006157,0.000125,0.022483688735549172
90,0.053908230676696436,6.25e-05,0.021137268132231726
91,0.05363619166914377,6.25e-05,0.020442375165612033
92,0.0541597196281147,6.25e-05,0.02041560788581986
